date,numconf,numdeaths,numrecover
26-03-2020,4018,39,230
27-03-2020,4675,53,256
28-03-2020,5386,59,502
29-03-2020,6255,61,522
30-03-2020,7424,89,1068
31-03-2020,8536,96,1254
01-04-2020,9595,109,1553
02-04-2020,11268,138,1983
03-04-2020,12519,187,
04-04-2020,13882,231,
05-04-2020,15496,280,2335
06-04-2020,16653,323,3616
07-04-2020,17883,380,
08-04-2020,19274,435,
09-04-2020,20748,509,
10-04-2020,22133,569,
11-04-2020,23301,653,
12-04-2020,24365,717,
13-04-2020,25663,780,
14-04-2020,27046,903,
15-04-2020,28364,1010,
16-04-2020,30081,1193,
17-04-2020,31872,1309,
18-04-2020,33341,1467,11178
19-04-2020,34777,1580,11786
20-04-2020,36823,1690,12585
21-04-2020,38413,1834,13188
22-04-2020,40179,1974,13986
23-04-2020,42099,2146,14761
24-04-2020,43877,2302,15541
25-04-2020,45341,2465,16425
26-04-2020,46884,2560,17321
27-04-2020,48489,2707,18268
28-04-2020,50015,2859,19231
29-04-2020,51587,2996,20327
30-04-2020,53225,3184,21424
01-05-2020,55050,3391,22751
02-05-2020,56703,3566,23801
03-05-2020,59463,3682,24908
04-05-2020,60761,3854,26017
05-05-2020,62035,4043,26993
06-05-2020,63485,4232,28171
07-05-2020,64911,4408,29247
08-05-2020,66423,4569,30226
09-05-2020,67691,4693,31249
10-05-2020,68837,4871,32096
11-05-2020,69970,4993,32994
12-05-2020,71146,5169,34042
13-05-2020,72267,5304,35164
14-05-2020,73477,5472,36091
15-05-2020,74602,5562,36895
16-05-2020,75853,5679,37819
17-05-2020,76991,5782,38550
18-05-2020,78061,5842,39238
19-05-2020,79101,5912,40050
20-05-2020,80112,6030,40693
21-05-2020,81313,6152,41728
22-05-2020,82469,6250,42607
23-05-2020,83610,6355,43318
24-05-2020,84688,6424,43998
25-05-2020,85700,6545,44651
26-05-2020,86636,6639,45352
27-05-2020,87508,6765,46177
28-05-2020,88501,6877,46853
29-05-2020,89407,6979,47533
30-05-2020,90179,7073,48116
31-05-2020,90936,7295,48892
01-06-2020,91694,7326,49739
02-06-2020,92399,7395,50357
03-06-2020,93074,7498,51048
04-06-2020,93715,7637,51739
05-06-2020,94324,7703,52568
06-06-2020,95046,7773,53614
07-06-2020,95688,7800,54233
08-06-2020,96233,7835,54833
09-06-2020,96642,7897,55572
10-06-2020,97114,7960,56639
11-06-2020,97519,7994,57658
12-06-2020,97932,8049,58523
13-06-2020,98399,8107,59354
14-06-2020,98776,8146,60272
15-06-2020,99136,8175,61042
16-06-2020,99456,8213,61443
17-06-2020,99842,8254,62017
18-06-2020,100209,8300,62496
19-06-2020,100618,8346,63003
20-06-2020,101008,8410,63488
21-06-2020,101326,8430,63886
22-06-2020,101626,8436,64334
23-06-2020,101952,8454,64704
24-06-2020,102231,8484,65091
25-06-2020,102611,8504,65425
26-06-2020,102783,8508,65726
27-06-2020,103021,8516,65973
28-06-2020,103239,8522,66191
29-06-2020,103907,8566,67178
30-06-2020,104193,8591,67594
02-07-2020,104760,8642,68345
03-07-2020,105079,8663,68693
04-07-2020,105305,8674,68990
